model_link_id,ROUTE_SYS,legacy_osm_lanes,mndot,widot,anoka,hennepin,carver,dakota,washington,naive,osm_min,osm_max,osm_mode
101,NA,1,0,0,0,0,0,0,0,1,2,2,2
102,5,0,1,0,0,0,0,0,0,1,NA,NA,NA
103,5,0,1,0,0,0,0,0,0,1,NA,NA,NA
104,10,0,0,0,0,0,0,0,0,1,NA,NA,NA
105,NA,0,0,0,0,0,0,0,0,1,NA,NA,NA
106,NA,0,0,0,0,0,0,0,0,1,NA,NA,NA
107,NA,0,0,0,0,0,0,0,0,1,NA,NA,NA
108,NA,0,0,0,0,0,0,0,0,1,NA,NA,NA
109,NA,0,0,0,0,0,0,0,0,1,NA,NA,NA
110,NA,0,0,0,0,0,0,0,0,1,NA,NA,NA
111,10,1,1,0,0,0,0,0,0,1,2,2,2
112,10,1,1,0,0,0,0,0,0,1,2,2,2
113,NA,0,0,0,0,0,0,0,0,1,NA,NA,NA
114,5,0,1,0,0,0,0,0,0,1,NA,NA,NA
115,10,0,1,0,0,0,0,0,0,1,NA,NA,NA
116,NA,1,0,0,0,0,0,0,0,1,2,2,2
117,26,0,1,0,0,0,0,0,0,1,NA,NA,NA
118,8,0,0,0,0,0,0,0,0,1,NA,NA,NA
119,NA,0,1,0,0,0,0,0,0,1,NA,NA,NA
120,NA,0,0,0,0,0,0,0,0,1,NA,NA,NA
121,10,0,1,0,0,0,0,0,0,1,NA,NA,NA
122,10,0,1,0,0,0,0,0,0,1,NA,NA,NA
123,10,0,0,0,0,0,0,0,0,1,NA,NA,NA
124,NA,0,0,0,0,0,0,0,0,1,NA,NA,NA
125,10,0,1,0,0,0,0,0,0,1,NA,NA,NA
126,NA,2,0,0,0,0,0,0,0,1,2,2,2
127,10,0,1,0,0,0,0,0,0,1,NA,NA,NA
128,10,0,1,0,0,0,0,0,0,1,NA,NA,NA
129,10,0,1,0,0,0,0,0,0,1,NA,NA,NA
130,NA,0,0,0,0,0,0,0,0,1,NA,NA,NA
131,NA,0,1,0,0,0,0,0,0,1,NA,NA,NA
132,NA,0,1,0,0,0,0,0,0,1,NA,NA,NA
133,NA,0,0,0,0,0,0,0,0,1,NA,NA,NA
134,NA,0,1,0,0,0,0,0,0,1,NA,NA,NA
135,NA,0,0,0,0,0,0,0,0,1,NA,NA,NA
136,NA,0,0,0,0,0,0,0,0,1,NA,NA,NA
137,NA,0,0,0,0,0,0,0,0,1,NA,NA,NA
138,NA,0,1,0,0,0,0,0,0,1,NA,NA,NA
139,NA,0,1,0,0,0,0,0,0,1,NA,NA,NA
140,NA,0,1,0,0,0,0,0,0,1,NA,NA,NA
141,NA,0,0,0,0,0,0,0,0,1,NA,NA,NA
142,NA,0,0,0,0,0,0,0,0,1,NA,NA,NA
143,NA,0,0,0,0,0,0,0,0,1,NA,NA,NA
144,NA,0,1,0,0,0,0,0,0,1,NA,NA,NA
145,NA,0,1,0,0,0,0,0,0,1,NA,NA,NA
146,NA,0,1,0,0,0,0,0,0,1,NA,NA,NA
147,10,0,1,0,0,0,0,0,1,1,NA,NA,NA
148,4,0,1,0,0,0,0,0,1,1,NA,NA,NA
149,10,0,0,0,0,0,0,0,0,1,NA,NA,NA
150,10,0,1,0,0,0,0,0,0,1,NA,NA,NA
151,4,0,2,0,0,0,0,0,2,1,NA,NA,NA
152,NA,0,0,0,0,0,0,0,0,1,NA,NA,NA
153,4,0,2,0,0,0,0,0,2,1,NA,NA,NA
154,4,0,2,0,0,0,0,0,2,1,NA,NA,NA
155,NA,0,0,0,0,0,0,0,0,1,NA,NA,NA
156,10,0,1,0,0,0,0,0,0,1,NA,NA,NA
157,10,0,1,0,0,0,0,0,0,1,NA,NA,NA
158,NA,0,0,0,0,0,0,0,0,1,NA,NA,NA
159,NA,0,0,0,0,0,0,0,0,1,NA,NA,NA
160,NA,0,1,0,0,0,0,0,0,1,NA,NA,NA
161,NA,0,1,0,0,0,0,0,0,1,NA,NA,NA
162,NA,0,1,0,0,0,0,0,0,1,NA,NA,NA
163,NA,0,0,0,0,0,0,0,0,1,NA,NA,NA
164,NA,0,1,0,0,0,0,0,0,1,NA,NA,NA
165,NA,0,1,0,0,0,0,0,0,1,NA,NA,NA
166,NA,0,1,0,0,0,0,0,0,1,NA,NA,NA
167,NA,0,1,0,0,0,0,0,0,1,NA,NA,NA
168,NA,0,1,0,0,0,0,0,0,1,NA,NA,NA
169,NA,0,1,0,0,0,0,0,0,1,NA,NA,NA
170,NA,0,1,0,0,0,0,0,0,1,NA,NA,NA
171,NA,0,1,0,0,0,0,0,0,1,NA,NA,NA
172,10,0,1,0,0,0,0,0,0,1,NA,NA,NA
173,21,0,1,0,0,0,0,0,0,1,NA,NA,NA
174,10,0,1,0,0,0,0,0,0,1,NA,NA,NA
175,NA,0,0,1,0,0,0,0,0,1,NA,NA,NA
176,10,0,1,0,0,0,0,0,0,1,NA,NA,NA
177,10,0,1,0,0,0,0,0,0,1,NA,NA,NA
178,21,0,0,0,0,0,0,0,0,1,NA,NA,NA
179,21,0,0,0,0,0,0,0,0,1,NA,NA,NA
180,26,0,0,0,0,0,0,0,0,1,NA,NA,NA
181,21,0,0,0,0,0,0,0,0,1,NA,NA,NA
182,10,0,0,0,0,0,0,0,0,1,NA,NA,NA
183,10,0,0,0,0,0,0,0,0,1,NA,NA,NA
184,21,0,0,0,0,0,0,0,0,1,NA,NA,NA
185,10,0,0,0,0,0,0,0,0,1,NA,NA,NA
186,NA,0,0,0,0,0,0,0,0,1,NA,NA,NA
187,10,0,1,0,0,0,0,0,0,1,NA,NA,NA
188,10,0,1,0,0,0,0,0,0,1,NA,NA,NA
189,21,0,0,0,0,0,0,0,0,1,NA,NA,NA
190,21,0,0,0,0,0,0,0,0,1,NA,NA,NA
191,10,0,1,0,0,0,0,0,0,1,NA,NA,NA
192,26,0,0,0,0,0,0,0,0,1,NA,NA,NA
193,10,0,0,0,0,0,0,0,0,1,NA,NA,NA
194,10,0,1,0,0,0,0,0,0,1,NA,NA,NA
195,21,0,1,0,0,0,0,0,0,1,NA,NA,NA
196,21,0,0,0,0,0,0,0,0,1,NA,NA,NA
197,21,0,0,0,0,0,0,0,0,1,NA,NA,NA
198,21,0,0,0,0,0,0,0,0,1,NA,NA,NA
199,NA,0,0,0,0,0,0,0,0,1,NA,NA,NA
200,NA,0,1,0,0,0,0,0,0,1,NA,NA,NA
201,NA,0,1,0,0,0,0,0,0,1,NA,NA,NA
202,10,0,0,0,0,0,0,0,0,1,NA,NA,NA
203,21,0,0,0,0,0,0,0,0,1,NA,NA,NA
204,10,0,1,0,0,0,0,0,0,1,NA,NA,NA
205,NA,0,0,0,0,0,0,0,0,1,NA,NA,NA
206,7,0,1,0,0,0,0,0,2,1,NA,NA,NA
207,7,0,1,0,0,0,0,0,2,1,NA,NA,NA
208,NA,0,0,0,0,0,0,0,0,1,NA,NA,NA
209,NA,0,0,0,0,0,0,0,0,1,NA,NA,NA
210,NA,0,1,0,0,0,0,0,0,1,NA,NA,NA
211,NA,0,1,0,0,0,0,0,0,1,NA,NA,NA
212,NA,0,1,0,0,0,0,0,0,1,NA,NA,NA
213,NA,0,0,0,0,0,0,0,0,1,NA,NA,NA
214,NA,0,0,0,0,0,0,0,0,1,NA,NA,NA
215,10,0,1,0,0,0,0,0,0,1,NA,NA,NA
216,10,0,0,0,0,0,0,0,0,1,NA,NA,NA
217,NA,0,0,0,0,0,0,0,0,1,NA,NA,NA
218,NA,0,0,0,0,0,0,0,0,1,NA,NA,NA
219,NA,0,0,0,0,0,0,0,0,1,NA,NA,NA
220,NA,0,0,0,0,0,0,0,0,1,NA,NA,NA
221,10,0,1,0,0,0,0,0,0,1,NA,NA,NA
222,10,0,1,0,0,0,0,0,0,1,NA,NA,NA
223,10,0,0,0,0,0,0,0,0,1,NA,NA,NA
224,10,0,1,0,0,0,0,0,0,1,NA,NA,NA
225,NA,0,0,0,0,0,0,0,0,1,NA,NA,NA
226,NA,0,0,0,0,0,0,0,0,1,NA,NA,NA
227,NA,0,1,0,0,0,0,0,0,1,NA,NA,NA
228,NA,0,0,0,0,0,0,0,0,1,NA,NA,NA
229,NA,0,1,0,0,0,0,0,0,1,NA,NA,NA
230,NA,0,0,0,0,0,0,0,0,1,NA,NA,NA
231,10,0,0,0,0,0,0,0,0,1,NA,NA,NA
232,21,0,0,0,0,0,0,0,0,1,NA,NA,NA
233,21,0,0,0,0,0,0,0,0,1,NA,NA,NA
234,NA,0,1,0,0,0,0,0,0,1,NA,NA,NA
235,NA,0,1,0,0,0,0,0,0,1,NA,NA,NA
236,NA,0,1,0,0,0,0,0,0,1,NA,NA,NA
237,NA,0,1,0,0,0,0,0,0,1,NA,NA,NA
238,NA,0,1,0,0,0,0,0,0,1,NA,NA,NA
239,10,0,1,0,0,0,0,0,0,1,NA,NA,NA
240,10,0,1,0,0,0,0,0,0,1,NA,NA,NA
241,21,0,0,0,0,0,0,0,0,1,NA,NA,NA
242,21,0,0,0,0,0,0,0,0,1,NA,NA,NA
243,NA,1,1,0,0,0,0,0,0,1,2,2,2
244,NA,1,1,0,0,0,0,0,0,1,2,2,2
245,NA,1,1,0,0,0,0,0,0,1,1,1,1
246,NA,0,1,0,0,0,0,0,0,1,NA,NA,NA
247,NA,0,1,0,0,0,0,0,0,1,NA,NA,NA
248,NA,0,1,0,0,0,0,0,0,1,NA,NA,NA
249,NA,0,1,0,0,0,0,0,0,1,NA,NA,NA
250,NA,0,1,0,0,0,0,0,0,1,NA,NA,NA
251,10,0,1,0,0,0,0,0,0,1,NA,NA,NA
252,10,0,1,0,0,0,0,0,0,1,NA,NA,NA
253,10,0,1,0,0,0,0,0,0,1,NA,NA,NA
254,10,0,1,0,0,0,0,0,0,1,NA,NA,NA
255,NA,1,0,0,0,0,0,0,0,1,2,2,2
256,NA,0,0,0,0,0,0,0,0,1,NA,NA,NA
