osm_link_id,model_link_id,ROUTE_SYS,OSMlanes,mndot,widot,anoka,hennepin,carver,dakota,washington,here,naive,dot,lanes,osm_latest,osm_latest_min,osm_latest_max,osm_latest_mode
139633489,86,10,1,1,0,0,0,0,0,0,1,1,1,1,2,2,2,2
158776739,87,4,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
316471940,88,8,0,0,0,0,0,0,0,0,1,1,0,1,,,,
316471941,89,8,0,0,0,0,0,0,0,0,1,1,0,1,,,,
316471941,90,8,0,0,0,0,0,0,0,0,1,1,0,1,,,,
316471941,91,8,0,0,0,0,0,0,0,0,1,1,0,1,,,,
316471941,92,8,0,0,0,0,0,0,0,0,1,1,0,1,,,,
18077657,93,8,0,1,0,0,0,0,0,0,1,1,1,1,,,,
18077657,94,8,0,1,0,0,0,0,0,0,1,1,1,1,,,,
316471940,95,8,0,0,0,0,0,0,0,0,1,1,0,1,,,,
6043342,96,10,0,1,0,0,0,0,0,0,1,1,1,1,,,,
503474608,97,10,0,1,0,0,0,0,0,0,0,1,1,1,,,,
6021128,98,10,0,1,0,0,0,0,0,0,1,1,1,1,,,,
6021128,99,10,0,1,0,0,0,0,0,0,1,1,1,1,,,,
503474608,100,,0,0,0,0,0,0,0,0,0,1,0,1,,,,
18224662,101,,1,0,0,0,0,0,0,0,1,1,0,1,2,2,2,2
6004735,102,5,0,1,0,0,0,0,0,0,1,1,1,1,,,,
6004735,103,5,0,1,0,0,0,0,0,0,1,1,1,1,,,,
166394677,104,10,0,0,0,0,0,0,0,0,1,1,0,1,,,,
6020557,105,,0,0,0,0,0,0,0,0,0,1,0,1,,,,
"180,265,126,020,557",106,,0,0,0,0,0,0,0,0,0,1,0,1,,,,
5996319,107,,0,0,0,0,0,0,0,0,0,1,0,1,,,,
492393163,108,,0,0,0,0,0,0,0,0,1,1,0,1,,,,
552677805,109,,0,0,0,0,0,0,0,0,1,1,0,1,,,,
132781434,110,,0,0,0,0,0,0,0,0,0,1,0,1,,,,
143865820,111,10,1,1,0,0,0,0,0,0,1,1,1,1,2,2,2,2
"188,407,171,143,865,000,000,000,000,000,000,000",112,10,1,1,0,0,0,0,0,0,1,1,1,1,2,2,2,2
132781434,113,,0,0,0,0,0,0,0,0,0,1,0,1,,,,
130923271,114,5,0,1,0,0,0,0,0,0,1,1,1,1,,,,
355202880,115,10,0,1,0,0,0,0,0,0,1,1,1,1,,,,
528799166,116,,1,0,0,0,0,0,0,0,1,1,0,1,2,2,2,2
653230896,117,26,0,1,0,0,0,0,0,0,1,1,1,1,,,,
184690878,118,8,0,0,0,0,0,0,0,0,1,1,0,1,,,,
18294573,119,,0,1,0,0,0,0,0,0,1,1,1,1,,,,
18280952,120,,0,0,0,0,0,0,0,0,1,1,0,1,,,,
18280942,121,10,0,1,0,0,0,0,0,0,1,1,1,1,,,,
"57,048,293,318,280,900",122,10,0,1,0,0,0,0,0,0,1,1,1,1,,,,
"18,280,952,629,053,300",123,10,0,0,0,0,0,0,0,0,1,1,0,1,,,,
18280952,124,,0,0,0,0,0,0,0,0,0,1,0,1,,,,
18035487,125,10,0,1,0,0,0,0,0,0,0,1,1,1,,,,
"1,803,753,360,099,750",126,,2,0,0,0,0,0,0,0,0,1,0,2,2,2,2,2
18280942,127,10,0,1,0,0,0,0,0,0,1,1,1,1,,,,
18280942,128,10,0,1,0,0,0,0,0,0,1,1,1,1,,,,
18288662,129,10,0,1,0,0,0,0,0,0,1,1,1,1,,,,
178547086,130,,0,0,0,0,0,0,0,0,0,1,0,1,,,,
258990887,131,,0,1,0,0,0,0,0,0,0,1,1,1,,,,
258990885,132,,0,1,0,0,0,0,0,0,2,1,1,1,,,,
178547086,133,,0,0,0,0,0,0,0,0,1,1,0,1,,,,
258990885,134,,0,1,0,0,0,0,0,0,1,1,1,1,,,,
178547086,135,,0,0,0,0,0,0,0,0,0,1,0,1,,,,
178547086,136,,0,0,0,0,0,0,0,0,0,1,0,1,,,,
178547086,137,,0,0,0,0,0,0,0,0,1,1,0,1,,,,
258990885,138,,0,1,0,0,0,0,0,0,2,1,1,1,,,,
178547085,139,,0,1,0,0,0,0,0,0,2,1,1,1,,,,
258990887,140,,0,1,0,0,0,0,0,0,0,1,1,1,,,,
178547086,141,,0,0,0,0,0,0,0,0,1,1,0,1,,,,
